Node_id\/--num_app_nodes->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
12,316.2565,317.3019,316.2126,310.4592,307.0548,302.5632,304.4395,305.5517,303.9006,297.5595,288.385111111,287.3508,284.8162,283.6052,281.5437,279.352,279.6867,276.7137,270.3615,274.157444444,269.3852,265.11,263.5819,257.2306
13,325.6994,316.1053,300.5735,296.6085,293.4698,287.4248,286.0781,287.0324,284.7166,283.3027,271.078222222,276.3729,274.9509,275.3458,274.6139,264.618,260.2283,250.0779,248.747,252.226777778,250.2064,244.3845,243.987,241.6732
14,331.8413,327.9835,320.0259,319.0787,316.5087,312.769,310.0062,311.302,311.633,305.7898,298.795444444,300.4825,296.1515,296.8511,293.9549,291.7897,291.2882,290.0512,290.5652,293.525777778,286.2079,286.0246,282.6032,282.2877
15,331.4207,331.5194,327.2273,318.7873,314.9494,311.5776,307.449,307.1045,300.3356,297.8658,298.808777778,295.055,288.1661,281.6164,278.9502,280.2588,277.1376,277.6391,272.2209,272.796777778,267.9453,268.9266,269.1718,269.575
16,325.6985,320.9096,317.1779,313.2215,310.1477,310.7906,311.0599,307.8667,308.155,309.4271,305.569,304.4639,301.72,301.4996,298.2477,299.881,296.2215,296.2374,297.7759,297.184777778,295.2688,295.7741,292.8004,283.6221
17,320.8313,321.7158,323.3553,323.785,320.0398,320.9202,321.2224,321.6583,318.4045,311.7616,302.507666667,299.0094,299.5532,299.7524,297.5278,297.3241,297.1852,294.9268,292.0144,292.336,290.3486,290.9087,290.3679,286.8562
18,330.2921,321.1144,314.6272,309.8901,311.0354,308.2007,306.0663,302.5497,300.9086,302.0389,296.236222222,298.7641,299.6515,300.138,297.2379,291.5461,288.8811,286.2414,284.6241,287.584777778,284.8129,279.0762,277.5263,278.7709
19,330.9285,327.0682,319.5441,318.6308,316.2303,309.4981,310.6757,311.7553,311.8521,312.4714,306.486666667,307.3131,303.3178,303.9557,301.078,299.0184,299.4559,298.7886,299.7771,302.054,302.1587,302.638,299.9271,299.4663
20,332.7787,332.7929,332.774,324.4289,320.8688,317.4167,313.8408,313.98,314.4392,314.8557,316.848222222,311.6429,308.4411,305.1105,305.6416,306.076,306.276,306.4165,300.525,300.606888889,301.5936,301.9565,302.1186,302.3318
21,331.1409,326.5558,326.9477,327.0565,323.5186,323.6308,323.8274,324.1216,324.3891,324.7353,324.066444444,321.7386,319.0245,319.3933,319.1972,319.7051,316.5544,315.9548,315.8531,316.990111111,313.0989,313.6066,313.5709,308.778
22,322.8267,323.6438,325.226,325.6892,322.0456,322.9312,323.3626,323.6921,320.6758,318.0454,313.258888889,312.2867,312.7353,312.2237,313.0987,314.4687,314.365,314.7512,311.8436,310.114444444,309.5283,309.9232,309.7195,310.6807
